frame_cnt,latitude,longitude,altitude,yaw,pitch,roll,focal_len
0,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
1,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
2,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
3,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
4,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
5,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
6,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
7,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
8,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
9,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
10,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
11,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
12,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
13,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
14,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
15,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
16,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
17,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
18,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
19,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
20,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
21,36.402256,127.421515,84.246,114.7,-29.8,0.0,24.00
22,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
23,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
24,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
25,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
26,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
27,36.402256,127.421515,84.245,114.7,-29.8,0.0,24.00
28,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
29,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
30,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
31,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
32,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
33,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
34,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
35,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
36,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
37,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
38,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
39,36.402256,127.421515,84.244,114.7,-29.8,0.0,24.00
40,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
41,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
42,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
43,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
44,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
45,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
46,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
47,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
48,36.402256,127.421515,84.243,114.7,-29.8,0.0,24.00
49,36.402256,127.421515,84.242,114.7,-29.8,0.0,24.00
50,36.402256,127.421515,84.242,114.7,-29.8,0.0,24.00
51,36.402256,127.421515,84.242,114.7,-29.8,0.0,24.00
52,36.402256,127.421515,84.241,114.7,-29.8,0.0,24.00
53,36.402256,127.421515,84.241,114.7,-29.8,0.0,24.00
54,36.402256,127.421515,84.241,114.7,-29.8,0.0,24.00
55,36.402256,127.421515,84.241,114.7,-29.8,0.0,24.00
56,36.402256,127.421515,84.241,114.7,-29.8,0.0,24.00
57,36.402256,127.421515,84.241,114.7,-29.8,0.0,24.00
58,36.402256,127.421515,84.242,114.7,-29.8,0.0,24.00
59,36.402256,127.421515,84.242,114.7,-29.8,0.0,24.00
60,36.402256,127.421515,84.242,114.7,-29.8,0.0,24.00
61,36.402257,127.421515,84.243,114.7,-29.8,0.0,24.00
62,36.402257,127.421515,84.243,114.7,-29.8,0.0,24.00
63,36.402257,127.421515,84.243,114.8,-29.8,0.0,24.00
64,36.402257,127.421515,84.245,114.8,-29.8,0.0,24.00
65,36.402257,127.421515,84.245,114.8,-29.8,0.0,24.00
66,36.402257,127.421515,84.245,114.8,-29.8,0.0,24.00
67,36.402257,127.421516,84.246,114.8,-29.8,0.0,24.00
68,36.402257,127.421516,84.246,114.8,-29.8,0.0,24.00
69,36.402257,127.421516,84.246,114.9,-29.8,0.0,24.00
70,36.402258,127.421516,84.246,114.9,-29.8,0.0,24.00
71,36.402258,127.421516,84.246,114.9,-29.8,0.0,24.00
72,36.402258,127.421516,84.246,115.0,-29.8,0.0,24.00
73,36.402258,127.421516,84.247,115.0,-29.8,0.0,24.00
74,36.402258,127.421516,84.247,115.0,-29.8,0.0,24.00
75,36.402258,127.421516,84.247,115.1,-29.8,0.0,24.00
76,36.402259,127.421517,84.247,115.1,-29.8,0.0,24.00
77,36.402259,127.421517,84.247,115.1,-29.8,0.0,24.00
78,36.402259,127.421517,84.247,115.2,-29.8,0.0,24.00
79,36.402259,127.421517,84.247,115.2,-29.8,0.0,24.00
80,36.402259,127.421517,84.247,115.2,-29.8,0.0,24.00
81,36.402259,127.421517,84.247,115.4,-29.8,0.0,24.00
82,36.402260,127.421518,84.247,115.4,-29.8,0.0,24.00
83,36.402260,127.421518,84.247,115.4,-29.8,0.0,24.00
84,36.402260,127.421518,84.247,115.6,-29.8,0.0,24.00
85,36.402261,127.421518,84.246,115.6,-29.8,0.0,24.00
86,36.402261,127.421518,84.246,115.6,-29.8,0.0,24.00
87,36.402261,127.421518,84.246,115.8,-29.8,0.0,24.00
88,36.402262,127.421519,84.246,115.8,-29.8,0.0,24.00
89,36.402262,127.421519,84.246,115.8,-29.8,0.0,24.00
90,36.402262,127.421519,84.246,116.1,-29.8,0.0,24.00
91,36.402262,127.421519,84.245,116.1,-29.8,0.0,24.00
92,36.402262,127.421519,84.245,116.1,-29.8,0.0,24.00
93,36.402262,127.421519,84.245,116.3,-29.8,0.0,24.00
94,36.402263,127.421520,84.244,116.3,-29.8,0.0,24.00
95,36.402263,127.421520,84.244,116.3,-29.8,0.0,24.00
96,36.402263,127.421520,84.244,116.6,-29.8,0.0,24.00
97,36.402264,127.421520,84.243,116.6,-29.8,0.0,24.00
98,36.402264,127.421520,84.243,116.6,-29.8,0.0,24.00
99,36.402264,127.421520,84.243,116.8,-29.8,0.0,24.00
100,36.402265,127.421521,84.243,116.8,-29.8,0.0,24.00
101,36.402265,127.421521,84.243,116.8,-29.8,0.0,24.00
102,36.402265,127.421521,84.243,117.1,-29.8,0.0,24.00
103,36.402266,127.421521,84.243,117.1,-29.8,0.0,24.00
104,36.402266,127.421521,84.243,117.1,-29.8,0.0,24.00
105,36.402267,127.421522,84.243,117.4,-29.8,0.0,24.00
106,36.402267,127.421522,84.243,117.4,-29.8,0.0,24.00
107,36.402267,127.421522,84.243,117.4,-29.8,0.0,24.00
108,36.402267,127.421522,84.243,117.8,-29.8,0.0,24.00
109,36.402268,127.421523,84.243,117.8,-29.8,0.0,24.00
110,36.402268,127.421523,84.243,117.8,-29.8,0.0,24.00
111,36.402269,127.421523,84.243,118.2,-29.8,0.0,24.00
112,36.402269,127.421523,84.243,118.2,-29.8,0.0,24.00
113,36.402269,127.421523,84.243,118.2,-29.8,0.0,24.00
114,36.402269,127.421523,84.243,118.6,-29.8,0.0,24.00
115,36.402270,127.421524,84.243,118.6,-29.8,0.0,24.00
